Barcode	SDB	Type	Reference	Test.CPM	Test_SD	Control.CPM	Control_SD	logFC	F	PValue	QValue
Di-Lex-[490]	SDB48	LCA HEPES	Streptavidin	2550.22676525218	2298.71382102969	2117.93973894219	300.211743885158	0.267963995338691	0.273757032184582	0.615560955929507	0.703326482849143
Di-Lex-[490]	SDB48	PSA PBS	Streptavidin	1135.41377929252	459.186164234141	2125.58618026493	300.211743885158	-0.904642597863744	8.54320578178703	0.00805120904743227	0.0182556484215034
Di-Lex-[490]	SDB48	PSA HEPES	Streptavidin	677.451878315753	349.070745975534	2122.09073980287	300.211743885158	-1.64729597092945	20.7541523731181	8.03593073270258e-06	3.82196705579757e-05
Di-Lex-[490]	SDB48	SBA PBS	Streptavidin	2581.48815285353	973.437659903229	2126.36179273918	300.211743885158	0.27981589011953	1.43095879253465	0.239550862758702	0.326601724632427
Di-Lex-[490]	SDB48	SBA HEPES	Streptavidin	735.104697923826	148.484034500294	2132.68114872118	300.211743885158	-1.53664664165518	47.3469585997394	1.75228188070965e-07	1.28135612526893e-06
Di-Lex-[490]	SDB48	ACG PBS	Streptavidin	1651.71594601975	276.663263414269	2131.48804076587	300.211743885158	-0.367895360236261	3.60010379857965	0.0702124767915106	0.120629365412727
Di-Lex-[490]	SDB48	ACG HEPES	Streptavidin	578.149920952673	86.5837015591351	2131.41033029863	300.211743885158	-1.88229280769863	64.4179889892029	3.6837408081762e-11	6.07038978248754e-10
Di-Lex-[490]	SDB48	NPL PBS	Streptavidin	2817.3456976421	62.578875870971	2130.16507160738	300.211743885158	0.403371365344345	3.91870759636779	0.048806195488983	0.0874475478133386
Di-Lex-[490]	SDB48	NPL HEPES	Streptavidin	778.236404209258	60.4150345883448	2127.87540495296	300.211743885158	-1.45113330498934	34.4037959855993	3.08394199532983e-07	2.08567175406699e-06
Di-Lex-[490]	SDB48	MAL PBS	Streptavidin	1830.26137546687	613.497240027762	2123.46947720689	300.211743885158	-0.214373680285247	0.706281242587544	0.412872642302541	0.514990396049012
Di-Lex-[490]	SDB48	MAL HEPES	Streptavidin	1333.47377078129	119.506817380933	2130.55550124324	300.211743885158	-0.67604018681188	10.7836016145911	0.00387432032711314	0.00952301424941676
Di-Lex-[490]	SDB48	UEA PBS	Streptavidin	2149.99327373449	853.142331211636	2129.9895430739	300.211743885158	0.0134857986109577	0.00327585429734998	0.954919963145404	0.969653560815014
Di-Lex-[490]	SDB48	UEA HEPES	Streptavidin	1603.30370087416	716.30221537583	2122.83699793745	300.211743885158	-0.404945868690608	2.14792172796055	0.162576513500405	0.234543182238562
Di-Lex-[490]	SDB48	SNA PBS	Streptavidin	1962.80505190535	82.7843132342295	2132.45633107136	300.211743885158	-0.119599308247164	0.448374472489722	0.510975632462393	0.612542510226434
Di-Lex-[490]	SDB48	SNA HEPES	Streptavidin	4020.0541932233	63.6640105908322	2129.4728803028	300.211743885158	0.91671859340138	27.2082960343641	0.000314456338688323	0.000986364386770342
Tri-Lex-[490]	SDB49	CTb PBS	Streptavidin	9041.94114346749	1458.21116298871	7905.96851071535	1849.76478271875	0.193690317831628	0.68003286406862	0.428462507692548	0.532166808917496
Tri-Lex-[490]	SDB49	CTb HEPES	Streptavidin	13951.9993125322	2165.12490518167	7905.40152809586	1849.76478271875	0.819561227774813	12.974265307619	0.00051142261391097	0.00151869151846659
Tri-Lex-[490]	SDB49	LCA PBS	Streptavidin	9244.40532401526	1252.80577830785	7905.25573795116	1849.76478271875	0.225768381577004	0.641741071252091	0.433030600784934	0.535566387862974
Tri-Lex-[490]	SDB49	LCA HEPES	Streptavidin	6427.69752248674	296.572620010853	7905.67733731519	1849.76478271875	-0.29858703452517	1.36945968290869	0.275280821879926	0.36921504130066
Tri-Lex-[490]	SDB49	PSA PBS	Streptavidin	7024.16098483952	704.230201511795	7904.76471311529	1849.76478271875	-0.170396611131239	0.679421297291546	0.419750161276147	0.521899775444306
Tri-Lex-[490]	SDB49	PSA HEPES	Streptavidin	7111.86517470545	518.478347155404	7904.85565034348	1849.76478271875	-0.152511143829019	0.398555033405728	0.52839105591416	0.626995472027958
Tri-Lex-[490]	SDB49	SBA PBS	Streptavidin	3629.27906540029	1604.01779490022	7905.16271827043	1849.76478271875	-1.12311216510006	16.2290639294649	0.000335892153719294	0.00103644134677924
Tri-Lex-[490]	SDB49	SBA HEPES	Streptavidin	6444.62159309562	173.802361432592	7903.92662371138	1849.76478271875	-0.294473902907694	2.52066834194039	0.123727997928744	0.190368124706719
Tri-Lex-[490]	SDB49	ACG PBS	Streptavidin	2971.18515305223	464.38000307615	7903.52847360587	1849.76478271875	-1.41145836667156	44.0363581073052	8.38404537360978e-07	5.03042722416587e-06
Tri-Lex-[490]	SDB49	ACG HEPES	Streptavidin	8085.87527345079	1360.78916842296	7903.43699437427	1849.76478271875	0.0329237704488104	0.0287342638396551	0.866093655307897	0.906377081136171
Tri-Lex-[490]	SDB49	NPL PBS	Streptavidin	3430.00029080045	558.886295281784	7903.79583813999	1849.76478271875	-1.20433698263541	27.4670741054639	3.30765109475416e-07	2.19883623912635e-06
